Sample No.,Clustr Grp
1,0
2,2
3,0
4,1
5,1
6,0
7,2
8,0
9,0
10,0
11,0
12,1
13,1
14,0
15,1
16,2
17,2
18,2
19,0
20,2
21,1
22,0
23,0
24,2
25,1
26,0
27,0
28,0
29,0
30,1
31,2
32,1
33,0
34,2
35,0
36,0
37,2
38,1
39,2
40,2
41,0
42,1
43,1
44,2
45,0
46,0
47,0
48,0
49,1
50,2
51,0
52,2
53,0
54,1
55,0
56,0
57,0
58,0
59,1
60,0
61,0
62,1
63,0
64,0
65,2
66,2
67,0
68,0
69,1
70,1
71,2
72,0
73,2
74,2
75,0
76,1
77,1
78,2
79,2
80,1
81,1
82,1
83,2
84,2
85,0
86,1
87,2
88,1
89,0
90,0
91,0
92,0
93,0
94,0
95,2
96,0
97,1
98,2
99,1
100,0
101,2
102,0
103,0
104,2
105,0
106,2
107,0
108,1
109,1
110,0
111,0
112,2
113,0
114,0
115,2
116,0
117,0
118,2
119,1
120,0
121,0
122,1
123,2
124,0
125,0
126,0
127,2
128,0
129,2
130,1
131,2
132,2
133,0
134,0
135,0
136,1
137,0
138,1
139,0
140,0
141,2
142,1
143,0
144,0
145,0
146,1
147,2
148,2
149,0
150,1
151,1
152,0
153,0
154,1
155,0
156,0
157,0
158,2
159,0
160,0
161,2
162,2
163,0
164,2
165,2
166,2
167,0
168,2
169,1
170,1
171,2
172,0
173,0
174,1
175,0
176,2
177,2
178,1
179,2
180,0
181,0
182,2
183,2
184,1
185,2
186,2
187,2
188,1
189,2
190,2
191,1
192,2
193,1
194,0
195,0
196,0
197,2
198,2
199,0
200,1
201,2
202,0
203,2
204,2
205,1
206,1
207,0
208,1
209,0
210,1
211,1
212,0
213,2
214,0
215,0
216,1
217,0
218,2
219,1
220,0
221,2
222,2
223,0
224,0
225,2
226,0
227,1
228,0
229,0
230,0
231,0
232,2
233,1
234,1
235,2
236,0
237,0
238,2
239,2
240,2
241,2
242,1
243,2
244,0
245,1
246,1
247,2
248,2
249,1
250,2
251,0
252,0
253,0
254,2
255,1
256,2
257,2
258,1
259,1
260,1
261,1
262,2
263,1
264,0
265,0
266,2
267,0
268,0
269,1
270,2
271,2
272,2
273,0
274,0
275,1
276,0
277,2
278,0
279,0
280,1
281,0
282,0
283,2
284,0
285,1
286,2
287,2
288,0
289,1
290,0
291,1
292,1
293,0
294,2
295,0
296,0
297,0
298,0
299,0
300,1
301,1
302,0
303,0
304,0
305,1
306,0
307,2
308,2
309,2
310,0
311,0
312,1
313,1
314,0
315,1
316,1
317,0
318,1
319,0
320,0
321,0
322,0
323,0
324,1
325,2
326,0
327,0
328,2
329,1
330,0
331,2
332,0
333,0
334,1
335,2
336,2
337,0
338,1
339,1
340,0
341,2
342,0
343,0
344,2
345,1
346,2
347,1
348,1
349,0
350,2
351,1
352,2
353,1
354,2
355,2
356,0
357,0
358,2
359,1
360,2
361,1
362,1
363,0
364,1
365,1
366,1
367,1
368,1
369,0
370,1
371,1
372,2
373,0
374,0
375,1
376,0
377,0
378,0
379,1
380,0
381,0
382,2
383,1
384,1
385,2
386,1
387,0
388,0
389,0
390,2
391,2
392,1
393,1
394,0
395,0
396,0
397,2
398,0
399,2
400,0
401,0
402,1
403,2
404,0
405,2
406,0
407,1
408,2
409,0
410,1
411,0
412,0
413,2
414,1
415,0
416,0
417,2
418,2
419,0
420,1
421,0
422,0
423,0
424,2
425,0
426,0
427,0
428,1
429,2
430,0
431,0
432,2
433,1
434,1
435,1
436,1
437,2
438,0
439,0
440,0
441,0
442,0
443,0
444,2
445,0
446,1
447,0
448,0
449,1
450,0
451,0
452,1
453,2
454,1
455,1
456,2
457,0
458,0
459,2
460,0
461,1
462,0
463,0
464,2
465,0
466,2
467,2
468,2
469,1
470,0
471,0
472,0
473,1
474,1
475,2
476,1
477,2
478,2
479,0
480,0
481,0
482,0
483,1
484,0
485,2
486,2
487,1
488,2
489,2
490,1
491,0
492,0
493,2
494,1
495,0
496,1
497,0
498,0
499,1
500,0
501,0
502,0
503,0
504,0
505,0
506,2
507,2
508,1
509,1
510,1
511,1
512,2
513,2
514,1
515,2
516,1
517,2
518,1
519,0
520,2
521,0
522,0
523,1
524,2
525,0
526,1
527,2
528,2
529,0
530,2
531,2
532,0
533,0
534,0
535,1
536,0
537,0
538,1
539,2
540,0
541,0
542,0
543,0
544,2
545,0
546,1
547,1
548,2
549,0
550,0
551,1
552,1
553,0
554,1
555,2
556,1
557,0
558,2
559,0
560,1
561,2
562,2
563,1
564,0
565,1
566,1
567,2
568,1
569,1
570,0
571,0
572,1
573,1
574,1
575,1
576,2
577,0
578,1
579,2
580,1
581,1
582,1
583,2
584,0
585,0
586,0
587,1
588,0
589,2
590,0
591,0
592,2
593,0
594,2
595,0
596,1
597,1
598,2
599,0
600,0
601,1
602,0
603,1
604,0
605,1
606,0
607,0
608,0
609,0
610,1
611,2
612,1
613,0
614,1
615,0
616,2
617,0
618,2
619,1
620,0
621,2
622,2
623,0
624,2
625,2
626,1
627,0
628,0
629,2
630,2
631,0
632,2
633,0
634,2
635,0
636,0
637,0
638,0
639,0
640,0
641,2
642,2
643,1
644,2
645,1
646,0
647,1
648,1
649,2
650,0
651,2
652,0
653,2
654,2
655,0
656,1
657,2
658,1
659,0
660,0
661,0
662,1
663,1
664,2
665,2
666,0
667,0
668,0
669,1
670,2
671,2
672,0
673,0
674,0
675,2
676,1
677,1
678,0
679,2
680,0
681,1
682,1
683,0
684,0
685,0
686,0
687,1
688,2
689,1
690,0
691,1
692,0
693,0
694,1
695,2
696,2
697,1
698,0
699,1
700,1
701,1
702,0
703,1
704,0
705,1
706,2
707,0
708,2
709,0
710,2
711,2
712,0
713,2
714,1
715,1
716,1
717,1
718,0
719,2
720,0
721,0
722,0
723,2
724,0
725,0
726,0
727,2
728,2
729,2
730,1
731,2
732,2
733,2
734,1
735,0
736,1
737,2
738,0
739,0
740,0
741,1
742,2
743,2
744,0
745,2
746,1
747,2
748,0
749,1
750,0
751,0
752,2
753,1
754,1
755,0
756,2
757,1
758,1
759,0
760,1
761,2
762,0
763,1
764,1
765,2
766,2
767,0
768,0
769,2
770,0
771,1
772,0
773,2
774,1
775,1
776,2
777,0
778,2
779,0
780,1
781,0
782,2
783,0
784,0
785,0
786,1
787,0
788,0
789,0
790,0
791,0
792,1
793,2
794,0
795,0
796,2
797,1
798,0
799,2
800,0
801,0
802,0
803,2
804,0
805,0
806,2
807,1
808,0
809,0
810,1
811,0
812,0
813,2
814,0
815,0
816,0
817,1
818,1
819,2
820,0
821,2
822,1
823,1
824,1
825,0
826,1
827,1
828,0
829,1
830,2
831,1
832,0
833,2
834,0
835,0
836,1
837,2
838,0
839,1
840,0
841,0
842,2
843,1
844,2
845,2
846,2
847,1
848,2
849,0
850,1
851,0
852,0
853,2
854,2
855,1
856,0
857,0
858,1
859,1
860,1
861,1
862,2
863,0
864,1
865,0
866,1
867,1
868,1
869,0
870,1
871,2
872,1
873,2
874,1
875,1
876,0
877,2
878,0
879,2
880,1
881,2
882,0
883,2
884,1
885,2
886,1
887,2
888,1
889,1
890,1
891,0
892,1
893,1
894,2
895,0
896,1
897,1
898,1
899,0
900,2
901,0
902,1
903,2
904,0
905,0
906,2
907,0
908,0
909,0
910,2
911,1
912,2
913,1
914,1
915,1
916,1
917,2
918,2
919,2
920,0
921,1
922,2
923,0
924,1
925,1
926,0
927,0
928,2
929,2
930,1
931,2
932,1
933,0
934,2
935,1
936,2
937,0
938,2
939,2
940,0
941,0
942,1
943,0
944,1
945,1
946,2
947,1
948,2
949,0
950,0
951,0
952,1
953,0
954,2
955,0
956,2
957,0
958,1
959,2
960,2
961,2
962,0
963,2
964,0
965,0
966,1
967,0
968,0
969,0
970,1
971,0
972,0
973,2
974,0
975,0
976,0
977,1
978,0
979,1
980,0
981,0
982,1
983,1
984,0
985,1
986,0
987,0
988,0
989,1
990,0
991,1
992,1
993,0
994,0
995,2
996,0
997,0
998,1
999,0
1000,1
1001,2
1002,0
1003,1
1004,2
1005,2
1006,2
1007,0
1008,2
1009,2
1010,0
1011,2
1012,2
1013,1
1014,0
1015,0
1016,0
1017,2
1018,1
1019,2
1020,2
1021,1
1022,0
1023,1
1024,0
1025,1
1026,2
1027,0
1028,0
1029,2
1030,2
1031,2
1032,2
1033,1
1034,0
1035,0
1036,1
1037,0
1038,1
1039,2
1040,0
1041,0
1042,2
1043,2
1044,0
1045,0
1046,2
1047,0
1048,2
1049,0
1050,2
1051,0
1052,1
1053,1
1054,0
1055,0
1056,0
1057,1
1058,0
1059,2
1060,0
1061,2
1062,1
1063,1
1064,0
1065,2
1066,1
1067,2
1068,2
1069,0
1070,2
1071,2
1072,2
1073,0
1074,0
1075,0
1076,1
1077,2
1078,0
1079,2
1080,0
1081,2
1082,2
1083,0
1084,1
1085,0
1086,0
1087,2
1088,1
1089,0
1090,0
1091,2
1092,1
1093,0
1094,0
1095,0
1096,2
1097,1
1098,2
1099,1
1100,2
1101,2
1102,2
1103,2
1104,2
1105,0
1106,2
1107,2
1108,0
1109,1
1110,1
1111,0
1112,2
1113,1
1114,0
1115,0
1116,1
1117,1
1118,0
1119,0
1120,2
1121,0
1122,1
1123,2
1124,1
1125,1
1126,1
1127,0
1128,1
1129,0
1130,0
1131,0
1132,2
1133,1
1134,2
1135,0
1136,1
1137,2
1138,1
1139,1
1140,1
1141,2
1142,2
1143,0
1144,1
1145,1
1146,2
1147,0
1148,0
1149,0
1150,1
1151,0
1152,2
1153,0
1154,0
1155,2
1156,1
1157,1
1158,1
1159,0
1160,0
1161,0
1162,0
1163,0
1164,2
1165,1
1166,1
1167,0
1168,0
1169,2
1170,0
1171,0
1172,1
1173,1
1174,2
1175,1
1176,2
1177,1
1178,0
1179,0
1180,1
1181,1
1182,0
1183,1
1184,2
1185,2
1186,2
1187,0
1188,1
1189,0
1190,0
1191,0
1192,2
1193,0
1194,0
1195,0
1196,0
1197,0
1198,1
1199,1
1200,2
1201,0
1202,0
1203,1
1204,1
1205,0
1206,0
1207,1
1208,1
1209,1
1210,2
1211,0
1212,0
1213,0
1214,0
1215,2
1216,1
1217,0
1218,2
1219,1
1220,2
1221,0
1222,2
1223,1
1224,2
1225,2
1226,0
1227,0
1228,2
1229,0
1230,0
1231,0
1232,2
1233,1
1234,0
1235,0
1236,1
1237,0
1238,1
1239,2
1240,2
1241,1
1242,0
1243,0
1244,0
1245,0
1246,1
1247,0
1248,2
1249,0
1250,1
1251,0
1252,1
1253,0
1254,1
1255,1
1256,0
1257,2
1258,1
1259,1
1260,0
1261,0
1262,0
1263,0
1264,0
1265,1
1266,1
1267,2
1268,0
1269,0
1270,0
1271,0
1272,1
1273,0
1274,1
1275,0
1276,0
1277,0
1278,2
1279,0
1280,0
1281,1
1282,2
1283,2
1284,0
1285,0
1286,1
1287,1
1288,0
1289,1
1290,0
1291,0
1292,2
1293,1
1294,1
1295,1
1296,1
1297,1
1298,0
1299,2
1300,2
1301,2
1302,1
1303,0
1304,0
1305,0
1306,0
1307,2
1308,2
1309,0
1310,2
1311,2
1312,0
1313,1
1314,1
1315,0
1316,2
1317,0
1318,2
1319,0
1320,1
1321,0
1322,0
1323,0
1324,1
1325,0
1326,0
1327,0
1328,1
1329,1
1330,0
1331,0
1332,2
1333,2
1334,0
1335,2
1336,0
1337,2
1338,2
1339,1
1340,0
1341,0
1342,0
1343,2
1344,0
1345,2
1346,1
1347,2
1348,1
1349,2
1350,2
1351,0
1352,0
1353,0
1354,1
1355,0
1356,2
1357,1
1358,2
1359,0
1360,2
1361,0
1362,1
1363,0
1364,0
1365,1
1366,2
1367,2
1368,1
1369,0
1370,0
1371,0
1372,0
1373,2
1374,0
1375,0
1376,1
1377,0
1378,0
1379,0
1380,2
1381,2
1382,2
1383,1
1384,1
1385,0
1386,0
1387,2
1388,2
1389,2
1390,0
1391,1
1392,0
1393,1
1394,0
1395,1
1396,2
1397,0
1398,2
1399,2
1400,2
1401,2
1402,0
1403,0
1404,2
1405,1
1406,0
1407,0
1408,2
1409,0
1410,1
1411,2
1412,1
1413,1
1414,1
1415,1
1416,0
1417,2
1418,2
1419,1
1420,2
1421,0
1422,1
1423,2
1424,2
1425,2
1426,2
1427,1
1428,0
1429,2
1430,2
1431,0
1432,1
1433,0
1434,1
1435,2
1436,2
1437,0
1438,0
1439,0
1440,1
1441,0
1442,0
1443,1
1444,2
1445,0
1446,1
1447,2
1448,2
1449,2
1450,0
1451,2
1452,0
1453,0
1454,0
1455,2
1456,0
1457,2
1458,2
1459,1
1460,0
1461,0
1462,0
1463,1
1464,2
1465,2
1466,0
1467,2
1468,2
1469,0
1470,2
1471,1
1472,0
1473,1
1474,2
1475,2
1476,2
1477,1
1478,0
1479,0
1480,0
1481,0
1482,2
1483,1
1484,2
1485,2
1486,2
1487,2
1488,2
1489,0
1490,1
1491,0
1492,0
1493,0
1494,1
1495,2
1496,0
1497,0
1498,1
1499,2
1500,1
1501,2
1502,0
1503,0
1504,0
1505,2
1506,2
1507,2
1508,0
1509,1
1510,0
1511,1
1512,0
1513,0
1514,1
1515,0
1516,1
1517,2
1518,1
1519,0
1520,1
1521,1
1522,2
1523,0
1524,1
1525,0
1526,2
1527,1
1528,2
1529,1
1530,0
1531,1
1532,0
1533,1
1534,1
1535,2
1536,2
1537,1
1538,2
1539,2
1540,2
1541,1
1542,2
1543,2
1544,2
1545,0
1546,1
1547,1
1548,1
1549,0
1550,0
1551,0
1552,1
1553,0
1554,0
1555,2
1556,1
1557,0
1558,2
1559,0
1560,1
1561,2
1562,0
1563,1
1564,2
1565,1
1566,1
1567,1
1568,1
1569,1
1570,1
1571,0
1572,1
1573,1
1574,1
1575,1
1576,1
1577,2
1578,0
1579,0
1580,1
1581,1
1582,0
1583,1
1584,0
1585,1
1586,1
1587,2
1588,1
1589,1
1590,2
1591,2
1592,1
1593,1
1594,0
1595,2
1596,1
1597,2
1598,2
1599,1
1600,0
1601,2
1602,1
1603,0
1604,0
1605,2
1606,0
1607,0
1608,0
1609,0
1610,0
1611,1
1612,2
1613,1
1614,0
1615,1
1616,0
1617,0
1618,2
1619,1
1620,0
1621,0
1622,2
1623,2
1624,0
1625,0
1626,1
1627,0
1628,1
1629,0
1630,0
1631,2
1632,2
1633,2
1634,0
1635,0
1636,2
1637,0
1638,2
1639,1
1640,0
1641,0
1642,0
1643,2
1644,0
1645,1
1646,2
1647,2
1648,1
1649,0
1650,0
1651,2
1652,0
1653,2
1654,2
1655,2
1656,0
1657,0
1658,2
1659,0
1660,0
1661,2
1662,0
1663,0
1664,0
1665,2
1666,0
1667,1
1668,1
1669,2
1670,0
1671,0
1672,1
1673,0
1674,1
1675,0
1676,0
1677,1
1678,1
1679,0
1680,1
1681,1
1682,2
1683,2
1684,2
1685,1
1686,2
1687,2
1688,2
1689,1
1690,1
1691,2
1692,0
1693,0
1694,2
1695,1
1696,1
1697,0
1698,2
1699,2
1700,1
1701,1
1702,2
1703,2
1704,0
1705,0
1706,0
1707,0
1708,0
1709,0
1710,2
1711,1
1712,0
1713,1
1714,2
1715,1
1716,0
1717,2
1718,1
1719,0
1720,1
1721,1
1722,2
1723,2
1724,0
1725,2
1726,0
1727,1
1728,1
1729,2
1730,1
1731,0
